Especial;OP;Direccion;Comuna;Condominio;Tipo edificio;Max inicio cttos (Días);Tipologia;Estac;Bod;Arriendo Total;GC Total;Reajuste por contrato;Meses sin reajuste;% Descuento;Cant. Meses Descuento;Cant. Garantías (Meses);Cant. Garantías Mascota (Meses);Sin Garantia;Cuotas Garantía;Rentas Necesarias;Requiere Aval(es);Tremenda promo;Orientacion;m2 Depto;m2 Terraza;Estatus LLave;Candado;Status Video;Comentario;Fecha Reparacion;Presupuesto;Acepta Mascotas?;Link Listing;Unidad;Estado
Arriendo Especial;FLOD1507;Froilán Roa 5746;La Florida;Florida Capital;1;60;1D1B;;;345000.00;80000.00;3;0;50.00;1;1;0;Si;3;3.00;0;75215;SP;33.39;3.26;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/la-florida/1-dormitorio/florida-capital/3013?selectedUnit=494027&codigo_referido=elkisd;1507;Lista para arrendar
Arriendo Especial;FLOD1508;Froilán Roa 5746;La Florida;Florida Capital;1;60;1D1B;;;350000.00;80000.00;3;0;50.00;1;1;0;Si;3;3.00;0;75216;SP;32.94;3.35;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/la-florida/1-dormitorio/florida-capital/3013?selectedUnit=494028&codigo_referido=elkisd;1508;Lista para arrendar
Arriendo Especial;FLOD1509;Froilán Roa 5746;La Florida;Florida Capital;1;60;1D1B;;;355000.00;80000.00;3;0;50.00;1;1;0;Si;3;3.00;0;75217;SP;31.84;3.35;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/la-florida/1-dormitorio/florida-capital/3013?selectedUnit=494029&codigo_referido=elkisd;1509;Lista para arrendar
Arriendo Especial;FLOD1510;Froilán Roa 5746;La Florida;Florida Capital;1;60;1D1B;;;355000.00;80000.00;3;0;50.00;1;1;0;Si;3;3.00;0;75218;SP;32.94;3.35;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/la-florida/1-dormitorio/florida-capital/3013?selectedUnit=494030&codigo_referido=elkisd;1510;Lista para arrendar
Arriendo Normal;FLOD1607;Froilán Roa 5746;La Florida;Florida Capital;1;60;1D1B;;;345000.00;80000.00;3;0;50.00;1;1;0;Si;3;3.00;0;75230;SP;33.39;3.26;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/la-florida/1-dormitorio/florida-capital/3013?selectedUnit=494037&codigo_referido=elkisd;1607;Lista para arrendar
Arriendo Normal;FLOD1608;Froilán Roa 5746;La Florida;Florida Capital;1;60;1D1B;;;350000.00;80000.00;3;0;50.00;1;1;0;Si;3;3.00;0;75231;SP;32.94;3.35;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/la-florida/1-dormitorio/florida-capital/3013?selectedUnit=494038&codigo_referido=elkisd;1608;Lista para arrendar
Arriendo Normal;FLOD1609;Froilán Roa 5746;La Florida;Florida Capital;1;60;1D1B;;;355000.00;80000.00;3;0;50.00;1;1;0;Si;3;3.00;0;75232;SP;31.84;3.35;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/la-florida/1-dormitorio/florida-capital/3013?selectedUnit=494039&codigo_referido=elkisd;1609;Lista para arrendar
Arriendo Normal;FLOD1610;Froilán Roa 5746;La Florida;Florida Capital;1;60;1D1B;;;355000.00;80000.00;3;0;50.00;1;1;0;Si;3;3.00;0;75233;SP;32.94;3.35;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/la-florida/1-dormitorio/florida-capital/3013?selectedUnit=494040&codigo_referido=elkisd;1610;Lista para arrendar
Arriendo Normal;FLOD1611;Froilán Roa 5746;La Florida;Florida Capital;1;60;1D1B;;;355000.00;80000.00;3;0;50.00;1;1;0;Si;3;3.00;0;75234;SP;32.94;3.35;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/la-florida/1-dormitorio/florida-capital/3013?selectedUnit=494041&codigo_referido=elkisd;1611;Lista para arrendar
Arriendo Normal;FLOD1707;Froilán Roa 5746;La Florida;Florida Capital;1;60;1D1B;;;345000.00;80000.00;3;0;50.00;1;1;0;Si;3;3.00;0;75245;SP;33.39;3.26;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/la-florida/1-dormitorio/florida-capital/3013?selectedUnit=494047&codigo_referido=elkisd;1707;Lista para arrendar
